"10.0","Seg10_Interest - General Interest - Auto Enthusiasts"
"31.0","Seg31_Interest - General Interest - Casual Gaming"
"38.0","Seg38_Demographic - Marital Status - Single"
"39.0","Seg39_Interest - General Interest - Health"
"52.0","Seg52_Intent - Travel - Accommodation"
"54.0","Seg54_Intent - Travel - Destination - Europe"
"66.0","Seg66+53_Intent - Travel - Destination - North America "
"143.0","Seg143_Interest - General Interest - Guys and Gear"
"145.0","Seg145+141_Demographic - Age and Gender Combination - Female - 35-54"
"227.0","Seg227+144_Demographic - Age and Gender Combination - Female - 18-34"
"306.0","Seg306_Demographic - Income Level - $150,000 Plus"
"307.0","Seg307_Demographic - Income Level - $125,000 to $149,999"
"308.0","Seg308_Demographic - Income Level - $100,000 to $124,999"
"311.0","Seg311+310+309_Demographic - Income Level - $50,000 to $99,999"
"373.0","Seg373_Interest - Sports - College Basketball"
"374.0","Seg374_Interest - Sports - NHL"
"375.0","Seg375_Interest - Sports - College Football"
"376.0","Seg376_Interest - Sports - NFL"
"377.0","Seg377_Interest - Sports - NBA"
"378.0","Seg378_Interest - Sports - MLB"
"379.0","Seg379+13369+13368+13372+371+13371+372_Interest - Sports - Other- Boxing,Cricket, Football, Pro Wrestling, Rugby"
"380.0","Seg380_Interest - Sports - Tennis"
"382.0","Seg382_Intent - Shopping - Fashion - Women"
"383.0","Seg383_Intent - Shopping - Fashion - Men"
"396.0","Seg396_Interest - Sports - Golf"
"530.0","Seg530_Intent - Travel - Destination - South America"
"994.0","Seg994+996_Demographic - Age and Gender Combination - Male - Age 18-34"
"998.0","Seg998+1000_Demographic - Age and Gender Combination - Male - Age 35-54"
"1006.0","Seg1006_Interest - General Interest - Green Living"
"1007.0","Seg1007_Interest - General Interest - Political Junkies"
"1099.0","Seg1099_Interest - General Interest - Social Influencers"
"1273.0","Seg1273+55_Intent - Travel - Destination - Caribbean"
"1274.0","Seg1274_Interest - General Interest - Travel Enthusiasts"
"1280.0","Seg1280+1281_Demographic - Age and Gender Combination - Female - 55+"
"1282.0","Seg1282+1283_Demographic - Age and Gender Combination - Male - Age 55+"
"1288.0","Seg1288+1290+1291+7125+1298+1300+1476_Interest - Events - Life celebration-Anniversary,baby shower, birthdays, new movers, parent and kids, religious, wedding and engagement"
